Trying 1 shapes
2     21.0   46.962525
3     24.0   16.870928
4     25.0   25.448997
5     28.0   27.795161
6     30.0   20.667556
7     34.0   27.916176
8     38.0   58.144355
9     43.0   59.981039
10    47.0   67.607857
11    53.0   61.209128
12    65.0   68.616648
13    74.0   66.967984
14    82.0  115.828827
15   107.0   96.257429
16   128.0  129.684482
17   181.0  213.303921
18   253.0  188.375164
19   361.0  376.042086
    actual   predicted
0     15.0    2.121264
1     19.0    5.582346
2     21.0   39.596105
3     24.0   17.121166
4     25.0   25.159935
5     28.0   29.181151
6     30.0   23.845207
7     34.0   28.902922
8     38.0   56.443055
9     43.0   61.338448
10    47.0   65.151663
11    53.0   64.907818
12    65.0   71.850087
13    74.0   73.801501
14    82.0  115.707146
15   107.0  103.656445
16   128.0  143.027604
17   181.0  220.025351
18   253.0  205.476153
19   361.0  369.605676
    actual   predicted
0     15.0    2.850181
1     19.0    2.448594
2     21.0   42.371270
3     24.0   19.298009
4     25.0   26.753192
5     28.0   32.552077
6     30.0   23.505751
7     34.0   32.654852
8     38.0   59.332676
9     43.0   59.915235
10    47.0   59.486060
11    53.0   55.566447
12    65.0   71.175798
13    74.0   76.557542
14    82.0  122.957461
15   107.0   88.594173
16   128.0  121.758308
17   181.0  226.575569
18   253.0  201.235932
19   361.0  358.618740
    actual   predicted
0     15.0    2.107625
1     19.0    5.711809
2     21.0   40.440986
3     24.0   17.138219
4     25.0   24.824280
5     28.0   27.493625
6     30.0   23.251086
7     34.0   29.512557
8     38.0   56.086672
9     43.0   59.665799
10    47.0   67.451977
11    53.0   65.110891
12    65.0   72.475622
13    74.0   73.810883
14    82.0  115.499111
15   107.0  106.160489
16   128.0  141.577198
17   181.0  211.194631
18   253.0  201.659732
19   361.0  372.230372
    actual   predicted
0     15.0    2.527330
1     19.0    4.453055
2     21.0   42.848364
3     24.0   17.094976
4     25.0   25.565372
5     28.0   29.112627
6     30.0   23.323219
7     34.0   27.918073
8     38.0   57.537698
9     43.0   61.171358
10    47.0   64.266685
11    53.0   62.568224
12    65.0   70.681041
13    74.0   71.624297
14    82.0  118.299239
15   107.0   97.553119
16   128.0  138.558631
17   181.0  220.962832
18   253.0  201.672940
19   361.0  377.282059
    actual   predicted
0     15.0    1.668311
1     19.0    3.749967
2     21.0   41.765731
3     24.0   16.963786
4     25.0   25.134746
5     28.0   28.486237
6     30.0   22.285166
7     34.0   27.142269
8     38.0   57.201689
9     43.0   60.274433
10    47.0   63.862421
11    53.0   61.723264
12    65.0   70.602712
13    74.0   72.036521
14    82.0  116.857061
15   107.0   97.881298
16   128.0  134.672415
17   181.0  219.499662
18   253.0  198.740594
19   361.0  368.971494
    actual   predicted
0     15.0    1.958121
1     19.0    3.933475
2     21.0   43.129865
3     24.0   17.308145
4     25.0   25.732482
5     28.0   28.387130
6     30.0   24.854330
7     34.0   27.565772
8     38.0   57.631901
9     43.0   60.497441
10    47.0   63.292221
11    53.0   62.397384
12    65.0   72.434280
13    74.0   73.863763
14    82.0  122.834072
15   107.0   97.168688
16   128.0  141.534298
17   181.0  218.982680
18   253.0  206.642754
19   361.0  390.101739
    actual   predicted
0     15.0    1.947702
1     19.0    4.434299
2     21.0   42.470165
3     24.0   17.145353
4     25.0   25.272375
5     28.0   28.972347
6     30.0   20.151776
7     34.0   28.705077
8     38.0   58.487667
9     43.0   61.784790
10    47.0   68.877493
11    53.0   64.257941
12    65.0   71.140084
13    74.0   71.928800
14    82.0  113.624205
15   107.0  103.949912
16   128.0  134.194536
17   181.0  223.291568
18   253.0  195.816736
19   361.0  362.064423
    actual   predicted
0     15.0    2.054588
1     19.0    4.648756
2     21.0   42.466720
3     24.0   17.225946
4     25.0   25.566999
5     28.0   29.410152
6     30.0   21.547309
7     34.0   28.744415
8     38.0   58.587785
9     43.0   62.448493
10    47.0   68.019837
11    53.0   64.865523
12    65.0   71.756718
13    74.0   72.758190
14    82.0  115.896216
15   107.0  103.348335
16   128.0  138.826303
17   181.0  225.613332
18   253.0  200.963605
19   361.0  370.206169
Best Models for 0 Hidden Layers
[(429.12229754902665, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a900130>), (457.4386799953471, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a900490>), (361.38649150300824, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a9007f0>), (436.7066680584976, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a900b50>), (352.0223754122145, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a900eb0>), (406.49146267177423, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a901210>), (394.6577258969035, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a901570>), (424.3307729596453, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a9018d0>), (427.1945021616715, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a901c30>), (423.79677831331054, [7, 1], <Project03.NeuralNetwork.NeuralNetwork object at 0x7fa36a901f90>)]
Overall results for 0 Hidden Layers
[    actual   predicted
0     15.0    0.922065
1     19.0   18.622697
2     21.0    8.818239
3     24.0   13.243611
4     27.0   41.521826
5     29.0   26.469466
6     32.0   27.408284
7     35.0   35.516816
8     41.0   35.848732
9     46.0   42.507640
10    52.0   61.302307
11    59.0   59.097341
12    74.0   74.961491
13    81.0  103.980178
14   102.0  263.677087
15   128.0  138.270372
16   181.0  190.348798
17   281.0  194.629841,     actual   predicted
0     17.0    8.136371
1     20.0   18.000157
2     21.0   46.937812
3     24.0   14.043616
4     28.0   29.517595
5     29.0   29.595976
6     33.0   29.636454
7     36.0   37.098199
8     41.0   47.040610
9     46.0   49.654313
10    53.0   61.186790
11    62.0   48.784354
12    74.0   66.945645
13    82.0  115.809680
14   102.0  215.128359
15   136.0  184.256015
16   182.0  152.594982
17   341.0  302.328516,     actual   predicted
0     18.0    6.207557
1     20.0   10.235997
2     22.0   18.251510
3     25.0   31.452238
4     28.0   27.021437
5     29.0   28.880448
6     33.0   67.676981
7     36.0   39.093855
8     41.0   47.526104
9     46.0   40.278167
10    53.0   82.249647
11    64.0   66.922796
12    74.0   63.620226
13    82.0   83.370466
14   107.0   96.471695
15   138.0  118.121812
16   183.0  158.776927
17   350.0  327.387838,     actual   predicted
0     18.0    8.203690
1     20.0   22.119567
2     22.0    9.405240
3     25.0   26.766256
4     28.0   21.948921
5     30.0   23.505751
6     34.0   35.812596
7     37.0   47.353477
8     42.0   61.804634
9     47.0   40.178304
10    53.0   56.933260
11    65.0   71.280315
12    75.0  116.554419
13    82.0   93.170884
14   113.0  142.367020
15   142.0   99.461267
16   190.0  173.057188
17   360.0  350.701192,     actual   predicted
0     18.0    8.292970
1     20.0   11.607181
2     23.0   15.577991
3     25.0   32.874185
4     28.0   53.633415
5     30.0   24.413639
6     34.0   27.407988
7     37.0   28.333467
8     42.0   51.027259
9     47.0   58.373143
10    53.0   83.062556
11    67.0   75.956737
12    76.0   90.667102
13    86.0   87.374504
14   113.0  147.445907
15   149.0  173.237064
16   220.0  243.244606
17   361.0  372.230372,     actual   predicted
0     18.0    8.554841
1     20.0   14.691216
2     23.0   30.561095
3     25.0   25.244979
4     28.0   22.167382
5     30.0   55.275873
6     34.0   30.698514
7     38.0   57.644334
8     43.0   61.254686
9     47.0   63.717713
10    54.0   74.709840
11    67.0   59.288424
12    76.0   83.541798
13    88.0   84.997795
14   116.0  126.465192
15   151.0  198.228925
16   227.0  216.140014
17   382.0  348.668211,     actual   predicted
0     18.0    2.896979
1     20.0    9.620566
2     23.0   12.862066
3     25.0   19.096965
4     28.0   24.751015
5     30.0   25.402616
6     34.0   27.192518
7     39.0   35.637763
8     44.0   61.761574
9     47.0   63.892134
10    54.0   71.649856
11    72.0  123.567100
12    78.0   69.230315
13    88.0   78.560607
14   117.0  109.345220
15   157.0  233.485860
16   266.0  264.283118
17   426.0  413.532187,     actual   predicted
0     18.0   24.909005
1     20.0   19.732093
2     24.0   36.291527
3     26.0   18.609269
4     28.0   26.068804
5     31.0   24.991495
6     34.0   31.109094
7     40.0   67.915479
8     44.0   48.836307
9     48.0   85.821058
10    56.0   69.481035
11    73.0   98.776905
12    80.0   74.985787
13    95.0  105.939078
14   119.0  129.696405
15   171.0  224.227846
16   267.0  308.554951
17   603.0  482.733666,     actual   predicted
0     19.0    4.434299
1     20.0   13.099133
2     24.0   17.145353
3     26.0   20.085719
4     28.0   32.748118
5     31.0   30.864997
6     34.0   27.546071
7     41.0   63.704667
8     44.0   53.129086
9     50.0   56.578680
10    56.0   73.578121
11    74.0   49.829821
12    80.0   52.489793
13    99.0  125.554547
14   120.0  142.473768
15   175.0  180.469376
16   270.0  319.654440
17   919.0  784.157235,     actual    predicted
0     19.0     3.601415
1     21.0    18.113355
2     24.0    21.205500
3     26.0    21.137954
4     28.0    31.937207
5     31.0    32.728554
6     35.0    28.758916
7     41.0    44.802757
8     45.0    40.443369
9     50.0    77.318539
10    57.0    95.604693
11    74.0    77.416592
12    80.0   108.620913
13   101.0   113.802687
14   126.0   204.480126
15   181.0   252.816337
16   275.0   281.515704
17   978.0  1108.055707]
Measures -------------------------
MSE:  [1952.6398282387115, 1102.2681299488597, 230.90019090599955, 324.5667456565363, 274.4899857703939, 332.2403140568715, 575.9657028523992, 1259.1228104186846, 1365.9081214355901, 1770.8101839270955]
